novada kods,Izglītības iestāde,Centralizētais eksāmens,vidējais vērtējums,skaits,<5%,5-9%,10-19%,20-29%,30-39%,40-49%,50-59%,60-69%,70-79%,80-89%,90-100%
176,Aglonas Katoļu ģimnāzija,Centralizētais eksāmens krievu valodā 12.klasei,79.2,1,,,,,,,,,1,,
176,Aglonas Katoļu ģimnāzija,Centralizētais eksāmens latviešu valodā 12.klasei,47.7,1,,,,,,1,,,,,
176,Aglonas Katoļu ģimnāzija,Centralizētais eksāmens matemātikā 12.klasei,48.5,1,,,,,,1,,,,,
176,Aglonas vidusskola,Centralizētais eksāmens angļu valodā 12.klasē,62.9,6,,,,,,1,2,,3,,
176,Aglonas vidusskola,Centralizētais eksāmens krievu valodā 12.klasei,82.9,9,,,,,,,,,3,6,
176,Aglonas vidusskola,Centralizētais eksāmens angļu valodā optimālajā līmenī,31.7,9,,,,6,1,1,1,,,,
176,Aglonas vidusskola,Centralizētais eksāmens latviešu valodā 12.klasei,57.9,10,,,,1,2,1,2,1,,3,
176,Aglonas vidusskola,Centralizētais eksāmens matemātikā 12.klasei,64.2,10,,,,,,,6,1,1,2,
176,Aglonas vidusskola,Centralizētais eksāmens ķīmijā 12.klasē,48.0,2,,,,,,1,1,,,,
176,Aglonas vidusskola,Centralizētais eksāmens bioloģijā 12.klasei,53.3,2,,,,,,,2,,,,
102,Aizkraukles novada vidusskola,Centralizētais eksāmens angļu valodā 12.klasē,75.6,29,,,,,,1,3,5,7,9,4
102,Aizkraukles novada vidusskola,Centralizētais eksāmens krievu valodā 12.klasei,85.1,2,,,,,,,,,1,,1
102,Aizkraukles novada vidusskola,Centralizētais eksāmens angļu valodā optimālajā līmenī,66.2,29,,,,,1,4,5,9,2,7,1
102,Aizkraukles novada vidusskola,Centralizētais eksāmens latviešu valodā 12.klasei,59.5,30,,,,1,2,5,6,7,6,3,
102,Aizkraukles novada vidusskola,Centralizētais eksāmens latviešu valodā (mazākumtautību izglītības programmās) 9. klasei,77.1,14,,,,,,1,1,,4,8,
102,Aizkraukles novada vidusskola,Centralizētais eksāmens matemātikā 12.klasei,44.3,30,,1,2,3,5,7,7,3,1,1,
102,Aizkraukles novada vidusskola,Centralizētais eksāmens matemātikā optimālajā līmenī,39.5,33,,1,3,12,3,5,1,4,1,3,
102,Aizkraukles novada vidusskola,Centralizētais eksāmens latviešu valodā optimālajā līmenī,58.3,38,,,,,7,4,9,9,6,2,1
102,Aizkraukles novada vidusskola,Centralizētais eksāmens bioloģijā 12.klasei,52.3,2,,,,,,1,,1,,,
102,Aizkraukles novada vidusskola,Centralizētais eksāmens fizikā 12.klasē,45.6,3,,,,,1,1,1,,,,
102,Aizkraukles Profesionālā vidusskola (prof.),Centralizētais eksāmens angļu valodā 12.klasē,41.9,40,,,8,1,14,3,6,6,2,,
102,Aizkraukles Profesionālā vidusskola (prof.),Centralizētais eksāmens latviešu valodā 12.klasei,34.9,40,,,4,11,13,5,6,1,,,
102,Aizkraukles Profesionālā vidusskola (prof.),Centralizētais eksāmens matemātikā 12.klasei,14.8,43,2,8,22,11,,,,,,,
102,Aizkraukles Profesionālā vidusskola (prof.),Centralizētais eksāmens matemātikā vispārīgajā līmenī,22.9,17,,3,3,9,1,1,,,,,
128,Aizputes vidusskola,Centralizētais eksāmens angļu valodā 12.klasē,77.7,22,,,,,,1,1,1,10,6,3
128,Aizputes vidusskola,Centralizētais eksāmens angļu valodā optimālajā līmenī,68.1,11,,,,,1,1,1,2,1,5,
128,Aizputes vidusskola,Centralizētais eksāmens latviešu valodā 12.klasei,63.1,22,,,,,,4,7,5,2,4,
128,Aizputes vidusskola,Centralizētais eksāmens matemātikā 12.klasei,47.6,22,,,1,2,7,3,2,4,2,1,
128,Aizputes vidusskola,Centralizētais eksāmens Latvijas un pasaules vēsturē 12.klasei,80.7,2,,,,,,,,1,,,1
128,Aizputes vidusskola,Centralizētais eksāmens matemātikā optimālajā līmenī,26.0,10,,,5,,3,1,1,,,,
128,Aizputes vidusskola,Centralizētais eksāmens fizikā 12.klasē,45.5,4,,,,,2,1,,,1,,
128,Aizputes vidusskola,Centralizētais eksāmens bioloģijā 12.klasei,64.2,3,,,,,,,1,2,,,
144,Aknīstes vidusskola,Centralizētais eksāmens angļu valodā 12.klasē,59.9,7,,,1,,,1,,2,3,,
144,Aknīstes vidusskola,Centralizētais eksāmens krievu valodā 12.klasei,50.9,2,,,,,1,,,1,,,
144,Aknīstes vidusskola,Centralizētais eksāmens latviešu valodā 12.klasei,48.2,9,,,,2,3,,,2,2,,
144,Aknīstes vidusskola,Centralizētais eksāmens matemātikā 12.klasei,25.0,9,,,6,,1,,2,,,,
144,Aknīstes vidusskola,Centralizētais eksāmens matemātikā optimālajā līmenī,15.1,8,,3,2,3,,,,,,,
144,Aknīstes vidusskola,Centralizētais eksāmens latviešu valodā optimālajā līmenī,55.7,7,,,,,1,1,1,4,,,
144,Aknīstes vidusskola,Centralizētais eksāmens bioloģijā 12.klasei,52.0,1,,,,,,,1,,,,
122,Alfrēda Kalniņa Cēsu Mūzikas vidusskola (prof.),Centralizētais eksāmens angļu valodā 12.klasē,76.0,19,,,,,,,4,2,3,8,2
122,Alfrēda Kalniņa Cēsu Mūzikas vidusskola (prof.),Centralizētais eksāmens latviešu valodā 12.klasei,65.4,19,,,,,,3,4,5,4,2,1
122,Alfrēda Kalniņa Cēsu Mūzikas vidusskola (prof.),Centralizētais eksāmens matemātikā 12.klasei,28.7,21,,,7,5,5,3,,1,,,
