pārbaudījums nosaukums,Izglītības iestāde,Kopvērtējums,Kārtotāju skaits
Eksāmens angļu valodā 9.klasei 9. klase,Ābeļu pamatskola,75.00,6
Eksāmens angļu valodā 9.klasei 9. klase,Ādažu vidusskola,84.41,105
Eksāmens angļu valodā 9.klasei 9. klase,Āgenskalna Valsts ģimnāzija,89.65,108
Eksāmens angļu valodā 9.klasei 9. klase,Aglonas Katoļu ģimnāzija,84.50,1
Eksāmens angļu valodā 9.klasei 9. klase,Aglonas vidusskola,78.70,5
Eksāmens angļu valodā 9.klasei 9. klase,Aizkraukles novada vidusskola,76.53,60
Eksāmens angļu valodā 9.klasei 9. klase,Aizputes pagasta pamatskola,56.75,12
Eksāmens angļu valodā 9.klasei 9. klase,Aizputes vidusskola,77.31,37
Eksāmens angļu valodā 9.klasei 9. klase,Aizupes pamatskola,75.00,7
Eksāmens angļu valodā 9.klasei 9. klase,Aknīstes vidusskola,77.20,15
Eksāmens angļu valodā 9.klasei 9. klase,Alekseja Grāvīša Liepnas pamatskola,77.71,7
Eksāmens angļu valodā 9.klasei 9. klase,Allažu pamatskola,65.95,11
Eksāmens angļu valodā 9.klasei 9. klase,Alojas Ausekļa vidusskola,77.55,11
Eksāmens angļu valodā 9.klasei 9. klase,Alsungas pamatskola,73.60,10
Eksāmens angļu valodā 9.klasei 9. klase,Alūksnes novada vidusskola,68.20,10
Eksāmens angļu valodā 9.klasei 9. klase,Amatas pamatskola,84.40,5
Eksāmens angļu valodā 9.klasei 9. klase,Ances pamatskola,80.92,6
Eksāmens angļu valodā 9.klasei 9. klase,Andreja Eglīša Ļaudonas vidusskola,69.79,12
Eksāmens angļu valodā 9.klasei 9. klase,Andreja Pumpura Rīgas 11. pamatskola,82.81,32
Eksāmens angļu valodā 9.klasei 9. klase,Andreja Upīša Skrīveru vidusskola,81.18,36
Eksāmens angļu valodā 9.klasei 9. klase,Andrupenes pamatskola,93.00,1
Eksāmens angļu valodā 9.klasei 9. klase,Annas Brigaderes pamatskola,58.20,5
Eksāmens angļu valodā 9.klasei 9. klase,Ata Kronvalda Durbes pamatskola,69.39,9
Eksāmens angļu valodā 9.klasei 9. klase,Auces vidusskola,66.41,37
Eksāmens angļu valodā 9.klasei 9. klase,Augstkalnes pamatskola,69.06,9
Eksāmens angļu valodā 9.klasei 9. klase,Babītes vidusskola,82.58,73
Eksāmens angļu valodā 9.klasei 9. klase,Baldones vidusskola,76.94,54
Eksāmens angļu valodā 9.klasei 9. klase,Baložu vidusskola,73.96,48
Eksāmens angļu valodā 9.klasei 9. klase,Baltinavas vidusskola,74.10,5
Eksāmens angļu valodā 9.klasei 9. klase,Balvu profesionālā un vispārizglītojošā vidusskola,52.21,12
Eksāmens angļu valodā 9.klasei 9. klase,Balvu Valsts ģimnāzija,70.85,41
Eksāmens angļu valodā 9.klasei 9. klase,Barkavas pamatskola,81.44,8
Eksāmens angļu valodā 9.klasei 9. klase,Baumaņu Kārļa Viļķenes pamatskola,79.64,7
Eksāmens angļu valodā 9.klasei 9. klase,Bauskas 2. vidusskola,76.02,29
Eksāmens angļu valodā 9.klasei 9. klase,Bauskas pilsētas pamatskola,72.53,33
Eksāmens angļu valodā 9.klasei 9. klase,Bauskas Valsts ģimnāzija,85.14,59
Eksāmens angļu valodā 9.klasei 9. klase,Bebrenes vispārizglītojošā un profesionālā vidusskola,80.39,9
Eksāmens angļu valodā 9.klasei 9. klase,Bebru pamatskola,59.38,8
Eksāmens angļu valodā 9.klasei 9. klase,Bejas pamatskola,63.75,4
Eksāmens angļu valodā 9.klasei 9. klase,Bēnes pamatskola,76.07,7
Eksāmens angļu valodā 9.klasei 9. klase,Berģu Mūzikas un mākslas pamatskola,83.47,17
Eksāmens angļu valodā 9.klasei 9. klase,Bērzaunes pamatskola,61.14,7
Eksāmens angļu valodā 9.klasei 9. klase,Bērzpils pamatskola,65.83,6
Eksāmens angļu valodā 9.klasei 9. klase,"Biedrības ""Tautskola 99 Baltie zirgi"" pamatskola",76.50,1
Eksāmens angļu valodā 9.klasei 9. klase,Biķernieku pamatskola,52.31,8
Eksāmens angļu valodā 9.klasei 9. klase,Bikstu pamatskola,58.50,3
Eksāmens angļu valodā 9.klasei 9. klase,Bilskas pamatskola,84.83,3
Eksāmens angļu valodā 9.klasei 9. klase,Birzgales pamatskola,62.33,6
Eksāmens angļu valodā 9.klasei 9. klase,Biržu pamatskola,80.71,7
Eksāmens angļu valodā 9.klasei 9. klase,Blīdenes pamatskola,80.65,10
Eksāmens angļu valodā 9.klasei 9. klase,Blomes pamatskola,77.57,7
Eksāmens angļu valodā 9.klasei 9. klase,Brāļu Skrindu Atašienes vidusskola,82.64,7
Eksāmens angļu valodā 9.klasei 9. klase,Brocēnu vidusskola,80.57,28
Eksāmens angļu valodā 9.klasei 9. klase,Burtnieku Ausekļa pamatskola,59.69,8
Eksāmens angļu valodā 9.klasei 9. klase,Carnikavas pamatskola,87.10,21
Eksāmens angļu valodā 9.klasei 9. klase,Cēres pamatskola,62.92,6
Eksāmens angļu valodā 9.klasei 9. klase,Cēsu 1. pamatskola,83.30,33
Eksāmens angļu valodā 9.klasei 9. klase,Cēsu 2. pamatskola,82.36,21
Eksāmens angļu valodā 9.klasei 9. klase,Cēsu Bērzaines pamatskola-attīstības centrs,68.67,9
Eksāmens angļu valodā 9.klasei 9. klase,Cēsu Pilsētas vidusskola,78.00,42
Eksāmens angļu valodā 9.klasei 9. klase,Cēsu Valsts ģimnāzija,89.61,41
Eksāmens angļu valodā 9.klasei 9. klase,Cesvaines vidusskola,72.69,26
Eksāmens angļu valodā 9.klasei 9. klase,Ciblas vidusskola,59.50,1
Eksāmens angļu valodā 9.klasei 9. klase,Cieceres pamatskola,45.68,11
Eksāmens angļu valodā 9.klasei 9. klase,Codes pamatskola,79.33,9
Eksāmens angļu valodā 9.klasei 9. klase,Dagdas vidusskola,62.75,6
