Novads/republikas pilsēta,Iestādes reģistrācijas Nr.,Iestādes nosaukums,Iestādes veids,Iestādes tips,Pakļautība,Adreses ATVK kods,Pedagogu skaits (unikālie PK),"Pedagoģisko amatu vietu skaits, no tiem:",Arodmācības skolotājs/amatmācības skolotājs,Direktora vietnieks (izglītības jomā),Direktors (izglītības jomā),Diriģents,Horeogrāfs,Interešu izglītības skolotājs,"Internāta, dienesta viesnīcas skolotājs",Izglītības iestādes bibliotekārs,Izglītības iestādes bibliotekārs (ceturtā un trešā līmeņa kvalifikācija),Izglītības iestādes muzeju pedagogs,Izglītības metodiķis,Izglītības psihologs,Koncertmeistars,Pagarinātās dienas grupas skolotājs,Pamatdarbības struktūrvienības vadītāja vietnieks/ direktora vietnieks (izglītības jomā),Pamatdarbības struktūrvienības VADĪTĀJS/ DIREKTORS (izglītības jomā),Pedagoga palīgs,Pedagogs karjeras konsultants,Pirmsskolas izglītības metodiķis,Pirmsskolas izglītības mūzikas skolotājs,Pirmsskolas izglītības skolotājs,Pirmsskolas izglītības sporta skolotājs,Profesionālās ievirzes skolotājs,Profesionālās izglītības skolotājs,Sākumizglītības skolotājs,Skolas direktora vietnieks,Skolas direktors,Skolotājs baleta mākslinieks,Skolotājs logopēds,Skolotājs mentors,Sociālais pedagogs,Speciālais pedagogs,Speciālās izglītības skolotājs,Sporta organizators,Sporta treneris,Sporta treneris ,Vadītāja vietnieks (izglītības jomā),Vadītāja vietnieks/direktora vietnieks (izglītības jomā),Vadītājs (izglītības jomā),Vadītājs/direktors (izglītības jomā),Vispārējās pamatizglītības skolotājs,Vispārējās vidējās izglītības skolotājs
Pavisam valstī:,,,,,,,38611,,1,215,22,2,1,5250,1275,731,25,57,482,463,452,2100,41,101,1013,152,174,911,9570,659,644,2766,743,776,511,23,1116,13,421,423,1246,277,17,38,59,1192,47,606,13079,7692
AGLONAS NOVADS,4201900395,Aglonas novada pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,604342,11,11,,,,,,,,,,,,,,,,,,,,1,8,,,,,,,,1,,,,,,,,,,,1,,
AGLONAS NOVADS,4212902579,Priežmalas pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,604372,17,26,,,,,,4,,,,,,1,,1,,,,,,1,2,,,,,,1,,1,,,,,,,,,1,,,14,
AGLONAS NOVADS,4213800388,Aglonas Katoļu ģimnāzija,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Juridiska vai fiziska persona,604342,14,14,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,5,7
AGLONAS NOVADS,4213900381,Aglonas vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,604342,30,68,,,,,,9,,1,,,2,1,,4,,,,,,,,,,,12,3,1,,1,,1,,,,,,,,,,18,15
AIZKRAUKLES NOVADS,4501901768,"Aizkraukles pilsētas pirmsskolas izglītības iestāde ""Auseklītis""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,320201,14,14,,,,,,1,,,,,,,,,,,,,,1,8,1,,,,,,,2,,,,,,,,,,,1,,
AIZKRAUKLES NOVADS,4501901773,"Aizkraukles pilsētas pirmsskolas izglītības iestāde ""Zīlīte""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,320201,30,31,,,,,,,,,,,,,,,,,,,1,2,23,2,,,,,,,1,,1,,,,,,,,,1,,
AIZKRAUKLES NOVADS,4501903388,"Aizkraukles pilsētas pirmsskolas izglītības iestāde ""Saulīte""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,320201,17,19,,,,,,,,,,,,,,,,,,,1,1,11,1,,,,,,,2,,,1,1,,,,,,,1,,
AIZKRAUKLES NOVADS,4511900989,Aizkraukles pagasta sākumskola,Vispārējās izglītības iestāde,Vispārizglītojošā sākumskola,Pašvaldība ,320244,21,29,,,,,,3,,1,,,,1,,,,,1,,1,2,4,1,,,10,,1,,1,,1,,1,,,,,1,,,,
AIZKRAUKLES NOVADS,4513903124,Aizkraukles novada vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,320201,92,151,,,,,,19,1,3,,,,3,,16,,,20,1,,,,,,,13,1,,,2,,2,1,,,,,,7,,1,45,16
AIZKRAUKLES NOVADS,4531002881,Aizkraukles Profesionālā vidusskola,Profesionālās pamata un vidējās izglītības iestāde,Profesionālās vidējās izglītības iestāde,Izglītības un zinātnes ministrija,320201,36,59,,1,,,,9,1,1,,,1,,,,,1,,,,,,,,25,,,1,,,,1,,,1,,,,2,,,,15
AIZPUTES NOVADS,4101901752,"Kazdangas pirmsskolas izglītības iestāde ""Ezītis""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,640668,7,7,,,,,,,,,,,,,,,,,,,,1,4,,,,,,,,1,,,,,,,,,,,1,,
AIZPUTES NOVADS,4101901754,"Cīravas pirmsskolas izglītības iestāde ""Pīlādzītis""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,640648,9,9,,,,,,,,,,,,,,,,,,,,1,6,,,,,,,,1,,,,,,,,,,,1,,
AIZPUTES NOVADS,4101901761,"Aizputes pirmsskolas izglītības iestāde ""Pasaciņa""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,640605,33,36,,,,,,,,,,,,,,,,,,,,3,25,2,,,,,,,2,,1,1,,,,,,1,,1,,
AIZPUTES NOVADS,4112901019,Māteru Jura Kazdangas pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,640668,18,42,,,,,,10,,1,,,2,,,5,,,1,1,,,,,,,,,1,,1,,1,,,,,,,2,,,17,
AIZPUTES NOVADS,4112901020,Kalvenes pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,640666,16,28,,,,,,5,,1,,,,,,3,,,,1,,,1,,,,,,1,,1,,1,,,,,,,1,,,13,
AIZPUTES NOVADS,4112901027,Dzērves pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,640648,18,28,,1,,,,5,,,,,,,,4,,,,,,,,,,,,,1,,1,,,,,,,,,,,,16,
AIZPUTES NOVADS,4112901031,Aizputes pagasta pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,640642,19,29,,,,,,5,,1,,,,,,2,,,,1,,1,1,,,,,,1,,1,,1,,,,,,,,,,15,
